"Id","Name","Hex__c"
"a1k4x000002iUegAAE","Eco True Dark Olive","#5f5f49"
"a1k4x000002iUehAAE","Eco True Navy","#424E6A"
"a1k4x000002iUeiAAE","Eco Grey","#7D7E83"
"a1k4x000002iUejAAE","Eco Pacific Blue","#0053A5"
"a1k4x000002iUekAAE","Eco True Deep Purple","#4D2D53"
"a1k4x000002iUelAAE","Eco Rose Quartz","#daaa96"
"a1k4x000002iUNqAAM","Black/ True Red","#000000"
"a1k4x000002iUNrAAM","Black/ Deep Orange","#000000"
"a1k4x000002iUNsAAM","Black/ White/ Forest","#000000"
"a1k4x000002iUNtAAM","Black/ Gold","#000000"
"a1k4x000002iUNuAAM","True Royal/ Heather","#1C3775"
"a1k4x000002iUNvAAM","Black/ White/ Royal","#000000"
"a1k4x000002iUNwAAM","Black/ White/ Gold","#000000"
"a1k4x000002iUNxAAM","Maroon/ Heather","#672E45"
"a1k4x000002iUNyAAM","Black/ True Royal","#000000"
"a1k4x000002iUNzAAM","True Navy/ Heather Grey","#333e59"
"a1k4x000002iUO0AAM","True Royal/ Heather","#1C3775"
"a1k4x000002iUO1AAM","Forest Green/ Heather","#22372B"
"a1k4x000002iUO2AAM","Black/ Deep Orange","#000000"
"a1k4x000002iUO3AAM","True Red/ Heather","#BA0C2F"
"a1k4x000002iUO4AAM","Black/ True Royal","#000000"
"a1k4x000002iUO5AAM","Black/ Dark Heather Grey","#000000"
"a1k4x000002iUO6AAM","Purple/ Heather","#351F65"
"a1k4x000002iUO7AAM","Black/ Gold","#000000"
"a1k4x000002iUO8AAM","Black/ True Red","#000000"
"a1k4x000002iUO9AAM","Maroon/ Heather","#672E45"
"a1k4x000002iUOAAA2","Black/ Heather","#000000"
"a1k4x000002iUOBAA2","Black/ True Red","#000000"
"a1k4x000002iUOCAA2","Black/ Neon Yellow","#000000"
"a1k4x000002iUODAA2","Black/ Neon Blaze","#000000"
"a1k4x000002iUOEAA2","Black/ True Royal","#000000"
"a1k4x000002iUOFAA2","Black/ True Red","#000000"
"a1k4x000002iUOGAA2","Black/ True Royal","#000000"
"a1k4x000002iUOHAA2","Black/ Neon Yellow","#000000"
"a1k4x000002iUOIAA2","Navy","#001773"
"a1k4x000002iUOJAA2","Forest","#0d4003"
"a1k4x000002iUOKAA2","Black","#0d1013"
"a1k4x000002iUOLAA2","Maroon","#4b0000"
"a1k4x000002iUOMAA2","Red","#f2000c"
"a1k4x000002iUONAA2","Royal","#0d4dff"
"a1k4x000002iUOOAA2","Light Steel","#938d8f"
"a1k4x000002iUOPAA2","White","#FFFFFF"
"a1k4x000002iUOQAA2","Charcoal Heather","#484649"
"a1k4x000002iUORAA2","Black","#151020"
"a1k4x000002iUOSAA2","Navy","#072846"
"a1k4x000002iUOTAA2","Charcoal Heather","#484649"
"a1k4x000002iUOUAA2","Black","#151020"
"a1k4x000002iUOVAA2","Navy","#072846"
"a1k4x000002iUOWAA2","White","#FFFFFF"
"a1k4x000002iUOXAA2","Light Steel","#938d8f"
"a1k4x000002iUzGAAU","Citrus Green","#B2BC00"
"a1k4x000002iUzHAAU","Royal","#1D4F91"
"a1k4x000002iUzIAAU","Fiery Red","#CC092F"
"a1k4x000002iUzJAAU","J. Navy","#253355"
"a1k4x000002iUzKAAU","Wild Plum","#5E2751"
"a1k4x000002iUzLAAU","Admiral Blue","#002B7A"
"a1k4x000002iUzMAAU","White","#FFFFFF"
"a1k4x000002iUzNAAU","Black","#000000"
"a1k4x000002iUzOAAU","Royal","#1D4F91"
"a1k4x000002iUzPAAU","Charcoal Grey","#54565b"
"a1k4x000002iUzQAAU","J. Navy","#253355"
"a1k4x000002iUzRAAU","Fiery Red","#CC092F"
"a1k4x000002iV98AAE","Scuba Blue","#47C7C7"
"a1k4x000002iV99AAE","Athletic Heather","#A8A8AA"
"a1k4x000002iV9AAAU","White","#FFFFFF"
"a1k4x000002iV9BAAU","Black","#000000"
"a1k4x000002iV9CAAU","J. Navy","#253355"
"a1k4x000002iV9DAAU","White","#FFFFFF"
"a1k4x000002iV9EAAU","Charcoal Grey","#54565b"
"a1k4x000002iV9FAAU","Cyber Pink","#AA1054"
"a1k4x000002iV9GAAU","Athletic Heather","#A8A8AA"
"a1k4x000002iV9HAAU","Charcoal","#9f9b9b"
"a1k4x000002iV9IAAU","Black","#0d1013"
"a1k4x000002iV9JAAU","Black","#0d1013"
"a1k4x000002iV9KAAU","Charcoal","#9f9b9b"
"a1k4x000002iV9LAAU","Safety Orange","#ff9c0a"
"a1k4x000002iV9MAAU","Navy","#182129"
"a1k4x000002iV9NAAU","Charcoal","#363840"
"a1k4x000002iV9OAAU","Navy","#182129"
"a1k4x000002iV9PAAU","Charcoal","#363840"
"a1k4x000002iV9QAAU","Navy","#182129"
"a1k4x000002iV9RAAU","Charcoal","#363840"
"a1k4x000002iV9SAAU","Olive (Oliva)","#807c6c"
"a1k4x000002iV9TAAU","Black (Nero)","#000000"
"a1k4x000002iV9UAAU","Navy (Marina Militare)","#333e59"
"a1k4x000002iV9VAAU","Dark Grey (Grigio Scuro)","#737470"
"a1k4x000002iV9WAAU","ShirtSupplier 19-20 catalogs","#A0A19C"
"a1k4x000002iV9XAAU","ShirtWholesaler 19-20 catalogs","#A0A19C"
"a1k4x000002iV9YAAU","Rusty (Arrugginito)","#76432a"
"a1k4x000002iV9ZAAU","Mustard Yellow (Mostarda)","#c68a32"
"a1k4x000002iV9aAAE","Olive (Oliva)","#807c6c"
"a1k4x000002iV9bAAE","Green Bottle (Verde Bottiglia)","#32572b"
"a1k4x000002iV9cAAE","Black (Nero)","#000000"
"a1k4x000002iV9dAAE","Light Grey Mélange (Grigio Chiaro Mélange)","#A2A7A1"
"a1k4x000002iV9eAAE","Dark Grey (Grigio Scuro)","#737470"
"a1k4x000002iVNmAAM","GK - Green/ Khaki Stripe","#2e3a36"
"a1k4x000002iVNnAAM","Light Blue/ Navy Stripe","#6d94ca"
"a1k4x000002iVNoAAM","HK-Hunter Green/ Khaki","#2e3a36"
"a1k4x000002iVNpAAM","CW-White/ Charcoal Stripe","#918f98"
"a1k4x000002iVNqAAM","CW-White/ Charcoal Stripe","#918f98"
"a1k4x000002iVNrAAM","KB-Khaki/ Black Microcheck","#8c7960"
"a1k4x000002iVNsAAM","GM Blue/ White","#9fb7cc"
"a1k4x000002iVNtAAM","Light Blue/ Navy Stripe","#6d94ca"
"a1k4x000002iVNuAAM","GW-White/ Green Stripe","#f4f6f6"
"a1k4x000002iVNvAAM","Charcoal/ Blue/ White Stripe","#363840"
"a1k4x000002iVNwAAM","GK - Green/ Khaki Stripe","#2e3a36"
"a1k4x000002iVNxAAM","EX-Blue/ Charcoal","#6d94ca"
"a1k4x000002iVNyAAM","White","#f4f6f6"
"a1k4x000002iVNzAAM","Black","#1a1618"
"a1k4x000002iVO0AAM","Navy","#182129"
"a1k4x000002iVO1AAM","Light Blue","#6d94ca"
"a1k4x000002iVO2AAM","Petrol Blue","#6e85b7"
"a1k4x000002iVO3AAM","Charcoal","#363840"
"a1k4x000002iVO4AAM","Black","#1a1618"
"a1k4x000002iVO5AAM","Light Blue","#6d94ca"
"a1k4x000002iVO6AAM","Khaki","#8c7960"
"a1k4x000002iVO7AAM","NL-Navy/ Light Blue","#182129"
"a1k4x000002iVO8AAM","Blue/ Charcoal Microcheck","#333e59"
"a1k4x000002iVO9AAM","Dark Blue","#DROPPED"
"a1k4x000002iVOAAA2","Petrol Blue","#6e85b7"
"a1k4x000002iVOBAA2","Navy","#182129"
"a1k4x000002iVOCAA2","RC - Charcoal/ Red","#363840"
"a1k4x000002iVODAA2","Royal Blue","#22569c"
"a1k4x000002iVOEAA2","Grey/ Blue Stripe","#6d94ca"
